region,tournament,season,stage,competition,date,time_or_status,home_team,away_team,match_id,home_score,away_score,home_odds,draw_odds,away_odds
252,7,2024-2025,10343,england-championship,"Wednesday, Feb 12 2025",FT,West Bromwich Albion,Blackburn,1827762,0,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 15 2025",,Preston,Burnley,1827796,0,0,,,
252,7,2024-2025,10343,england-championship,"Sunday, Dec 29 2024",FT,Oxford,Plymouth,1827130,2,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Feb 25 2025",FT,Cardiff,Hull,1827899,1,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 22 2025",FT,Portsmouth,Queens Park Rangers,1827849,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 22 2025",FT,Norwich,Stoke,1827850,4,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 22 2025",FT,West Bromwich Albion,Oxford,1827846,2,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 22 2025",FT,Coventry,Preston,1827787,2,1,,,
252,7,2024-2025,10343,england-championship,"Sunday, Feb 23 2025",FT,Watford,Luton,1827847,2,0,,,
252,7,2024-2025,10343,england-championship,"Monday, Feb 24 2025",FT,Sheffield United,Leeds,1827845,1,3,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Feb 25 2025",FT,Stoke,Middlesbrough,1827737,1,3,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 15 2025",FT,Oxford,Portsmouth,1827797,0,2,,,
252,7,2024-2025,10343,england-championship,"Friday, Feb 28 2025",FT,Sheffield Wednesday,Sunderland,1827804,1,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 01 2025",FT,Leeds,West Bromwich Albion,1827773,1,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 01 2025",FT,Blackburn,Norwich,1827776,1,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 01 2025",FT,Oxford,Coventry,1827777,2,3,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 01 2025",,Stoke,Watford,1827794,0,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 01 2025",FT,Middlesbrough,Derby,1827769,1,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 22 2025",FT,Swansea,Blackburn,1827911,3,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 22 2025",FT,Plymouth,Cardiff,1827909,1,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 22 2025",FT,Sunderland,Hull,1827848,0,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 22 2025",FT,Derby,Millwall,1827785,0,1,,,
252,7,2024-2025,10343,england-championship,"Friday, Feb 21 2025",FT,Burnley,Sheffield Wednesday,1827790,4,0,,,
252,7,2024-2025,10343,england-championship,"Friday, Feb 21 2025",FT,Bristol City,Middlesbrough,1827791,2,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Feb 19 2025",FT,Luton,Plymouth,1827772,1,1,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Feb 18 2025",FT,Preston,Millwall,1827752,1,1,,,
252,7,2024-2025,10343,england-championship,"Monday, Feb 17 2025",FT,Leeds,Sunderland,1827768,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 15 2025",FT,Hull,Norwich,1827766,1,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 15 2025",FT,Blackburn,Plymouth,1827764,2,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 15 2025",FT,Sheffield Wednesday,Coventry,1827793,1,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 15 2025",FT,Middlesbrough,Watford,1827783,0,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 15 2025",FT,Luton,Sheffield United,1827770,0,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 15 2025",FT,Millwall,West Bromwich Albion,1827798,1,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 15 2025",FT,Stoke,Swansea,1827907,3,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 15 2025",FT,Cardiff,Bristol City,1827905,1,1,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 28 2025",FT,Portsmouth,Millwall,1827077,0,1,,,
252,7,2024-2025,10343,england-championship,"Monday, Jan 27 2025",,Burnley,Leeds,1827700,0,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 25 2025",FT,Bristol City,Blackburn,1827698,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 04 2025",FT,Norwich,Coventry,1827715,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 04 2025",,Stoke,Plymouth,1827718,0,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 04 2025",FT,Blackburn,Burnley,1827712,0,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 04 2025",FT,Swansea,West Bromwich Albion,1827826,1,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 04 2025",FT,Middlesbrough,Cardiff,1827825,1,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 04 2025",FT,Bristol City,Derby,1827713,1,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 04 2025",FT,Hull,Leeds,1827714,3,3,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 04 2025",FT,Preston,Oxford,1827716,1,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 25 2025",FT,Queens Park Rangers,Sheffield Wednesday,1827734,0,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 04 2025",FT,Sheffield Wednesday,Millwall,1827717,2,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 04 2025",FT,Watford,Sheffield United,1827720,1,2,,,
252,7,2024-2025,10343,england-championship,"Sunday, Jan 05 2025",FT,Sunderland,Portsmouth,1827719,1,0,,,
252,7,2024-2025,10343,england-championship,"Monday, Jan 06 2025",FT,Queens Park Rangers,Luton,1827709,2,1,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 14 2025",FT,Plymouth,Oxford,1827070,1,1,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 14 2025",FT,Cardiff,Watford,1827119,1,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Sunderland,Sheffield United,1827710,2,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Hull,Middlesbrough,1827134,0,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Portsmouth,Swansea,1827824,4,0,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Cardiff,Coventry,1827823,1,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,West Bromwich Albion,Preston,1827711,3,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Luton,Norwich,1827136,0,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Leeds,Blackburn,1827135,1,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Burnley,Stoke,1827133,0,0,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Sheffield Wednesday,Derby,1827729,4,2,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Millwall,Oxford,1827137,0,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Plymouth,Bristol City,1827730,2,2,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 01 2025",FT,Queens Park Rangers,Watford,1827728,3,1,,,
252,7,2024-2025,10343,england-championship,"Sunday, Dec 29 2024",,Middlesbrough,Burnley,1827128,0,0,,,
252,7,2024-2025,10343,england-championship,"Sunday, Dec 29 2024",FT,Derby,Leeds,1827127,0,1,,,
252,7,2024-2025,10343,england-championship,"Sunday, Dec 29 2024",,Coventry,Millwall,1827126,0,0,,,
252,7,2024-2025,10343,england-championship,"Sunday, Dec 29 2024",FT,Bristol City,Portsmouth,1827125,3,0,,,
252,7,2024-2025,10343,england-championship,"Sunday, Dec 29 2024",FT,Blackburn,Hull,1827124,0,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 15 2025",FT,Blackburn,Portsmouth,1826950,3,0,,,
252,7,2024-2025,10343,england-championship,"Friday, Jan 17 2025",,Burnley,Sunderland,1827721,0,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 18 2025",FT,Cardiff,Swansea,1827827,3,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 21 2025",FT,Swansea,Sheffield United,1827829,1,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 25 2025",FT,Preston,Middlesbrough,1827751,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 25 2025",FT,West Bromwich Albion,Portsmouth,1827742,5,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 25 2025",FT,Sunderland,Plymouth,1827740,2,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 25 2025",FT,Coventry,Watford,1827702,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 25 2025",FT,Cardiff,Derby,1827830,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 25 2025",FT,Norwich,Swansea,1827853,5,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 25 2025",FT,Luton,Millwall,1827704,0,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 25 2025",,Stoke,Oxford,1827738,0,0,,,
252,7,2024-2025,10343,england-championship,"Friday, Jan 24 2025",FT,Sheffield United,Hull,1827736,0,3,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 22 2025",FT,Plymouth,Burnley,1827693,0,5,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 22 2025",FT,Sheffield Wednesday,Bristol City,1827696,2,2,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 22 2025",FT,Portsmouth,Stoke,1827695,3,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Jan 22 2025",FT,Leeds,Norwich,1827692,2,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 21 2025",FT,Millwall,Cardiff,1827828,2,2,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 21 2025",FT,Blackburn,Coventry,1827703,0,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 18 2025",FT,Millwall,Hull,1827708,0,1,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 21 2025",FT,Middlesbrough,West Bromwich Albion,1827707,2,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 21 2025",FT,Hull,Queens Park Rangers,1827706,1,2,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 21 2025",FT,Derby,Sunderland,1827705,0,1,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 21 2025",FT,Watford,Preston,1827691,1,2,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Jan 21 2025",FT,Oxford,Luton,1827689,3,2,,,
252,7,2024-2025,10343,england-championship,"Sunday, Jan 19 2025",FT,Leeds,Sheffield Wednesday,1827724,3,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 18 2025",FT,Portsmouth,Middlesbrough,1827697,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 18 2025",FT,Derby,Watford,1827723,0,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 18 2025",FT,Coventry,Bristol City,1827722,1,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 18 2025",,Luton,Preston,1827725,0,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 18 2025",FT,West Bromwich Albion,Stoke,1827701,1,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 18 2025",FT,Sheffield United,Norwich,1827699,2,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 18 2025",FT,Oxford,Blackburn,1827690,1,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Jan 18 2025",FT,Plymouth,Queens Park Rangers,1827694,0,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 01 2025",FT,Luton,Portsmouth,1827771,1,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Mar 04 2025",FT,Millwall,Bristol City,1827779,0,2,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Mar 04 2025",FT,Hull,Plymouth,1827775,2,0,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Derby,Luton,1827891,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Stoke,Sheffield Wednesday,1827926,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Blackburn,Millwall,1827873,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Watford,Burnley,1827879,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Oxford,Leeds,1827885,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Norwich,Portsmouth,1827887,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Middlesbrough,Plymouth,1827889,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Coventry,West Bromwich Albion,1827892,-,-,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Apr 08 2025",19:45,Watford,Hull,1827864,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Bristol City,Sunderland,1827894,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Sheffield United,Cardiff,1827956,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Swansea,Hull,1827957,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Cardiff,Oxford,1827958,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Plymouth,Coventry,1827881,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Hull,Preston,1827876,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 18 2025",15:00,Preston,Queens Park Rangers,1827882,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 14 2025",20:00,Hull,Coventry,1827914,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 12 2025",15:00,Sunderland,Swansea,1827945,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 12 2025",15:00,Cardiff,Stoke,1827943,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 12 2025",15:00,Portsmouth,Derby,1827904,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 12 2025",15:00,Queens Park Rangers,Bristol City,1827902,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 12 2025",15:00,Sheffield Wednesday,Oxford,1827900,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 12 2025",15:00,West Bromwich Albion,Watford,1827898,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 12 2025",15:00,Luton,Blackburn,1827910,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 12 2025",15:00,Millwall,Middlesbrough,1827908,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 12 2025",12:30,Leeds,Preston,1827912,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 12 2025",12:30,Plymouth,Sheffield United,1827906,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Apr 11 2025",20:00,Burnley,Norwich,1827915,-,-,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Apr 09 2025",20:00,Coventry,Portsmouth,1827867,-,-,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Apr 09 2025",19:45,Oxford,Queens Park Rangers,1827896,-,-,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Apr 09 2025",19:45,Swansea,Plymouth,1827941,-,-,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Apr 08 2025",20:00,Middlesbrough,Leeds,1827852,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Burnley,Sheffield United,1827878,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,West Bromwich Albion,Derby,1827927,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Sunderland,Blackburn,1827928,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Luton,Coventry,1827872,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Aug 09 2024",FT,Blackburn,Derby,1827727,4,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Watford,Sheffield Wednesday,1827955,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Sunderland,Queens Park Rangers,1827954,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Sheffield United,Blackburn,1827953,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Portsmouth,Hull,1827951,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Plymouth,Leeds,1827949,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Derby,Stoke,1827948,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Coventry,Middlesbrough,1827946,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Burnley,Millwall,1827944,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Bristol City,Preston,1827942,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Swansea,Oxford,1827937,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,Norwich,Cardiff,1827935,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, May 03 2025",12:30,West Bromwich Albion,Luton,1827931,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Leeds,Bristol City,1827875,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Middlesbrough,Norwich,1827869,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Sheffield Wednesday,Middlesbrough,1827929,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Oxford,Sunderland,1827866,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Preston,Plymouth,1827863,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Queens Park Rangers,Burnley,1827860,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Sheffield Wednesday,Portsmouth,1827857,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Stoke,Sheffield United,1827854,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Hull,Derby,1827851,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Millwall,Swansea,1827934,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Blackburn,Watford,1827933,-,-,,,
252,7,2024-2025,10343,england-championship,"Saturday, Apr 26 2025",15:00,Cardiff,West Bromwich Albion,1827932,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Luton,Bristol City,1827920,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Leeds,Stoke,1827917,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Millwall,Norwich,1827884,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Queens Park Rangers,Swansea,1827939,-,-,,,
252,7,2024-2025,10343,england-championship,"Monday, Apr 21 2025",15:00,Portsmouth,Watford,1827930,-,-,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Apr 08 2025",19:45,Preston,Cardiff,1827940,-,-,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Apr 08 2025",19:45,Stoke,Luton,1827861,-,-,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Mar 04 2025",FT,Cardiff,Burnley,1827893,1,2,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Mar 12 2025",FT,Watford,Swansea,1827922,1,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Mar 11 2025",FT,Norwich,Sheffield Wednesday,1827832,2,3,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Mar 11 2025",FT,Cardiff,Luton,1827921,1,2,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Mar 11 2025",FT,Sheffield United,Bristol City,1827833,1,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Mar 12 2025",FT,Portsmouth,Plymouth,1827799,1,2,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Mar 12 2025",FT,Hull,Oxford,1827831,2,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Mar 12 2025",FT,Leeds,Millwall,1827807,2,0,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Mar 12 2025",FT,Stoke,Blackburn,1827837,1,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Apr 08 2025",19:45,Sheffield United,Millwall,1827858,-,-,,,
252,7,2024-2025,10343,england-championship,"Friday, Mar 14 2025",FT,Bristol City,Norwich,1827834,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 15 2025",FT,Queens Park Rangers,Leeds,1827838,2,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 15 2025",FT,Millwall,Stoke,1827809,1,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 15 2025",FT,Plymouth,Derby,1827811,2,3,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 15 2025",FT,Preston,Portsmouth,1827813,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 15 2025",FT,Oxford,Watford,1827805,1,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Mar 11 2025",FT,Sunderland,Preston,1827806,1,1,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Mar 11 2025",FT,Burnley,West Bromwich Albion,1827802,1,1,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Mar 11 2025",FT,Derby,Coventry,1827801,2,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Mar 11 2025",FT,Middlesbrough,Queens Park Rangers,1827800,2,1,,,
252,7,2024-2025,10343,england-championship,"Sunday, Mar 09 2025",FT,Portsmouth,Leeds,1827782,1,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 08 2025",FT,Plymouth,Sheffield Wednesday,1827778,0,3,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 08 2025",FT,Derby,Blackburn,1827786,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 08 2025",FT,Sheffield United,Preston,1827781,1,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 08 2025",FT,Swansea,Middlesbrough,1827919,1,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Mar 08 2025",FT,Sunderland,Cardiff,1827918,2,1,,,
